
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 7.01405e-05, 4.8e-05, 4.8e-10, 1.872e-05, 1.98e-06, 1.44e-06, 1.305e-06, 5e-08, 4e-06, 1.426e-05, 8.97555e-05, 71.5404
, 0.000111411, 7.7e-05, 7.7e-10, 3.003e-05, 2.07e-06, 2.31e-06, 1.38e-06, 5e-08, 4e-06, 1.298e-05, 0.000129821, 61.6063
, 2.17502e-05, 1.5e-05, 1.5e-10, 5.85e-06, 4.5e-07, 4.5e-07, 6.45e-07, 4.84375e-08, 3.94e-06, 1.08e-05, 3.71836e-05, 87.045
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 2.36102e-05, 1.6e-05, 1.6e-10, 6.24e-06, 8.9e-07, 4.8e-07, 2.85e-07, 5.86875e-08, 4.94e-06, 1.158e-05, 4.04738e-05, 85.9829


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.000273792, 0.000189, 1.89e-09, 7.371e-05, 5.41e-06, 5.67e-06, 4.395e-06, 7.39375e-08, 6e-06, 2.6625e-05, 0.000310886, 31.3479
, 8.65206e-05, 5.9e-05, 5.9e-10, 2.301e-05, 2.74e-06, 1.77e-06, 1.83e-06, 6.63125e-08, 6.06e-06, 1.752e-05, 0.000111997, 65.8429
, 0.000148331, 0.000102, 1.02e-09, 3.978e-05, 3.49e-06, 3.06e-06, 4.5e-06, 7.48125e-08, 6e-06, 2.6705e-05, 0.000185611, 50.0285
, 0.000119001, 8.2e-05, 8.2e-10, 3.198e-05, 2.56e-06, 2.46e-06, 1.89e-06, 7.5e-08, 6e-06, 2.236e-05, 0.000149326, 57.2819
, 0.000254792, 0.000177, 1.77e-09, 6.903e-05, 3.45e-06, 5.31e-06, 4.605e-06, 7.3625e-08, 6e-06, 2.756e-05, 0.00029303, 33.5076
, 0.000108061, 7.4e-05, 7.4e-10, 2.886e-05, 2.98e-06, 2.22e-06, 1.785e-06, 7.5e-08, 6e-06, 2.162e-05, 0.000137541, 59.857
, 0.000178011, 0.000123, 1.23e-09, 4.797e-05, 3.35e-06, 3.69e-06, 1.98e-06, 7.5e-08, 6e-06, 2.097e-05, 0.000207036, 46.1846
, 3.62803e-05, 2.5e-05, 2.5e-10, 9.75e-06, 7.8e-07, 7.5e-07, 1.08e-06, 7.40313e-08, 5.99e-06, 1.711e-05, 6.05343e-05, 79.7818
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 2.47102e-05, 1.7e-05, 1.7e-10, 6.63e-06, 5.7e-07, 5.1e-07, 3.15e-07, 5.86875e-08, 4.94e-06, 1.137e-05, 4.13939e-05, 85.6882


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.000374423, 0.000258, 2.58e-09, 0.00010062, 8.06e-06, 7.74e-06, 6e-06, 1.01312e-07, 8e-06, 4.1215e-05, 0.000429739, 20.119
, 0.000103921, 7.1e-05, 7.1e-10, 2.769e-05, 3.1e-06, 2.13e-06, 2.505e-06, 8.76875e-08, 8e-06, 2.9165e-05, 0.000143678, 58.5018
, 0.000232822, 0.00016, 1.6e-09, 6.24e-05, 5.62e-06, 4.8e-06, 6.12e-06, 1.00062e-07, 8e-06, 3.5285e-05, 0.000282327, 34.873
, 0.000172871, 0.000119, 1.19e-09, 4.641e-05, 3.89e-06, 3.57e-06, 2.625e-06, 1e-07, 8e-06, 2.867e-05, 0.000212266, 45.2921
, 0.000361923, 0.000251, 2.51e-09, 9.789e-05, 5.5e-06, 7.53e-06, 6.225e-06, 1.00812e-07, 8e-06, 3.6835e-05, 0.000413083, 21.4091
, 0.000131401, 9e-05, 9e-10, 3.51e-05, 3.6e-06, 2.7e-06, 2.415e-06, 1e-07, 8e-06, 2.769e-05, 0.000169606, 53.1072
, 0.000230522, 0.000159, 1.59e-09, 6.201e-05, 4.74e-06, 4.77e-06, 2.625e-06, 1e-07, 8e-06, 2.834e-05, 0.000269587, 36.5708
, 3.92103e-05, 2.7e-05, 2.7e-10, 1.053e-05, 8.7e-07, 8.1e-07, 1.38e-06, 9.91875e-08, 7.98e-06, 2.28e-05, 7.14695e-05, 76.592
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 2.61202e-05, 1.8e-05, 1.8e-10, 7.02e-06, 5.6e-07, 5.4e-07, 3.15e-07, 5.86875e-08, 4.94e-06, 1.223e-05, 4.36639e-05, 84.9655


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.000452403, 0.000312, 3.12e-09, 0.00012168, 9.36e-06, 9.36e-06, 7.2e-06, 1.24187e-07, 1e-05, 4.2805e-05, 0.000512532, 14.772
, 0.000139121, 9.5e-05, 9.5e-10, 3.705e-05, 4.22e-06, 2.85e-06, 2.82e-06, 1.10406e-07, 1.011e-05, 2.848e-05, 0.000180641, 50.9648
, 0.000263252, 0.000181, 1.81e-09, 7.059e-05, 6.23e-06, 5.43e-06, 7.56e-06, 1.2675e-07, 1e-05, 4.71e-05, 0.000328039, 29.4044
, 0.000233882, 0.000161, 1.61e-09, 6.279e-05, 5.26e-06, 4.83e-06, 3.27e-06, 1.25e-07, 1e-05, 3.581e-05, 0.000283087, 34.7742
, 0.000476353, 0.00033, 3.3e-09, 0.0001287, 7.75e-06, 9.9e-06, 8.13e-06, 1.26187e-07, 1e-05, 4.7885e-05, 0.000542494, 13.2095
, 0.000174081, 0.000119, 1.19e-09, 4.641e-05, 5.1e-06, 3.57e-06, 3.345e-06, 1.25e-07, 1e-05, 3.503e-05, 0.000222581, 43.582
, 0.000302662, 0.000209, 2.09e-09, 8.151e-05, 5.88e-06, 6.27e-06, 3.36e-06, 1.25e-07, 1e-05, 3.677e-05, 0.000352917, 26.7977
, 5.36804e-05, 3.7e-05, 3.7e-10, 1.443e-05, 1.14e-06, 1.11e-06, 1.665e-06, 1.22875e-07, 9.98e-06, 2.7725e-05, 9.31732e-05, 70.6338
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 2.34002e-05, 1.6e-05, 1.6e-10, 6.24e-06, 6.8e-07, 4.8e-07, 2.85e-07, 5.86875e-08, 4.94e-06, 1.218e-05, 4.08638e-05, 85.857

